Time;Frequency;CurrentA;CurrentB;CurrentC;VoltageAB;VoltageBC;VoltageCA;Activepower;ApparentpowerVA;ActiveenergydeliveredWh;Humidity;Temperature
2021-06-25T12:30:00Z;600206,00;6015500641,00;5613195038,00;7604492188,00;2258164825,00;2248908539,00;2247580414,00;2437684059,00;7955475807,00;6763,00;65255,00;26.87
2021-06-25T12:45:00Z;600303,00;7445542145,00;9073873901,00;9462189484,00;2259942169,00;2248200073,00;2248768921,00;3282575607,00;9852912903,00;7528,00;65.21;26975,00
2021-06-25T13:00:00Z;599766,00;7280680847,00;9301513672,00;8941560364,00;2257445831,00;224641037,00;2246856232,00;3220117569,00;9627210617,00;7994,00;65065,00;27.11
2021-06-25T13:15:00Z;600014,00;6697910309,00;8590991974,00;9483209229,00;2246954956,00;2233843536,00;2233625336,00;309021492,00;8813570976,00;7282,00;64705,00;27.24
2021-06-25T13:30:00Z;600185,00;5915777588,00;8008496094,00;9522437286,00;2244630432,00;2231781616,00;2228647461,00;2914201546,00;7769878387,00;7339,00;64595,00;27265,00
2021-06-25T13:45:00Z;600067,00;4782330322,00;7829258728,00;8724182129,00;2244467773,00;22321698,00;222758667,00;2639233589,00;6278095245,00;7034,00;64085,00;27.62
2021-06-25T14:00:00Z;600377,00;4358338165,00;7824485016,00;9929790497,00;2257645416,00;2245988312,00;2242555695,00;2761457825,00;5759055614,00;6328,00;63965,00;27.64
2021-06-25T14:15:00Z;600121,00;5449028397,00;6161974335,00;6106573486,00;2253626404,00;2245730743,00;2243960114,00;223582859,00;7195467949,00;6883,00;64155,00;27.58
2021-06-25T14:30:00Z;599791,00;4262100601,00;5610440063,00;5661454773,00;2256179657,00;2246352386,00;2243577423,00;1954245758,00;56308465,00;6508,00;64625,00;27.43
2021-06-25T14:45:00Z;600066,00;5108995438,00;617771225,00;6429058838,00;2263068695,00;2253136749,00;2249358978,00;222035408,00;6769101143,00;5742,00;65015,00;27295,00
2021-06-25T15:00:00Z;600128,00;4046570587,00;665852356,00;6529771423,00;2261548462,00;2250565186,00;2249700775,00;2163165665,00;5361463547,00;5148,00;65.45;27.11
2021-06-25T15:15:00Z;600173,00;4130343628,00;6418029022,00;6881977844,00;2264230499,00;2253037415,00;2251259155,00;2176382828,00;5477230072,00;5220,00;65.8;26975,00
2021-06-25T15:30:00Z;600199,00;5078076935,00;6140994263,00;7572705078,00;2265620422,00;2255545959,00;2254625549,00;2369946861,00;674152422,00;5430,00;66.02;27.1
2021-06-25T15:45:00Z;599674,00;5444860077,00;6251197815,00;7880969238,00;2267900696,00;2259538727,00;2258553009,00;2471320152,00;7237563133,00;5851,00;65975,00;27.16
2021-06-25T16:00:00Z;600092,00;4006258392,00;6126279449,00;6766759491,00;2271816406,00;2260507813,00;2260884247,00;2121305847,00;533365202,00;5318,00;66235,00;27.15
2021-06-25T16:15:00Z;600598,00;3963911819,00;6286529541,00;6509766388,00;2268953857,00;2257025909,00;2256316376,00;2103705406,00;5269127846,00;5167,00;66.12;27.06
2021-06-25T16:30:00Z;600194,00;3952520752,00;5756493378,00;6446705627,00;2274406738,00;2262496033,00;226351181,00;2032496643,00;526890564,00;4883,00;65.99;27055,00
2021-06-25T16:45:00Z;600176,00;29468853,00;5497439957,00;6010479355,00;2277789307,00;2265245209,00;2267000122,00;176378727,00;3934417009,00;4645,00;65995,00;27.05
2021-06-25T17:00:00Z;600383,00;3015242767,00;3967971802,00;3577905273,00;2286867065,00;2275243988,00;2278310852,00;1256713867,00;4044276714,00;3847,00;65785,00;27.04
2021-06-25T17:15:00Z;599891,00;2585224152,00;3739796066,00;237326088,00;2286059265,00;2275027008,00;2279515228,00;1033747101,00;346796298,00;2789,00;65.97;27045,00
2021-06-25T17:30:00Z;60023,00;1388917446,00;2585847092,00;2083839798,00;2296154785,00;2284445953,00;2289028473,00;7457588673,00;1871107697,00;2338,00;66.1;27,00
2021-06-25T17:45:00Z;599602,00;1320084572,00;3111567307,00;2096858597,00;2298465729,00;2287303009,00;2291824341,00;7841997623,00;1780599952,00;2094,00;66.2;27,00
2021-06-25T18:00:00Z;600182,00;1294712639,00;2579113007,00;2026605415,00;2306956024,00;2297102966,00;2300997009,00;7253730297,00;1752658606,00;1929,00;65835,00;26975,00
2021-06-25T18:15:00Z;59998,00;1338437271,00;2492497635,00;2477269173,00;2303864746,00;2291365356,00;2294943085,00;7622690201,00;1808639288,00;1921,00;65.08;26.84
2021-06-25T18:30:00Z;60043,00;1526659966,00;311032486,00;2470336914,00;2290009613,00;2277276154,00;2282766266,00;8647809029,00;2051448584,00;2235,00;65.12;26815,00
2021-06-25T18:45:00Z;599568,00;1577496719,00;2791452789,00;2413227272,00;229418808,00;2282537842,00;2285944519,00;8355038643,00;2122926712,00;2073,00;65855,00;26695,00
2021-06-25T19:00:00Z;599654,00;2418959045,00;371889801,00;2444717216,00;2292880554,00;2282875671,00;2285653839,00;1037613392,00;3253522635,00;2231,00;66185,00;26605,00
2021-06-25T19:15:00Z;600085,00;2896372032,00;2752941895,00;2341016769,00;2299962921,00;228884079,00;2290597076,00;1018025684,00;3905139685,00;2253,00;66.97;26.55
2021-06-25T19:30:00Z;600117,00;1523756504,00;286835556,00;2112694931,00;2307444458,00;2295056,00;2298713074,00;8033820152,00;2062273264,00;2201,00;66335,00;26.41
2021-06-25T19:45:00Z;599876,00;1537433147,00;294355011,00;2081945801,00;2309994507,00;2297561798,00;2301746368,00;8114883423,00;2083059788,00;2156,00;65.93;26225,00
2021-06-25T20:00:00Z;59953,00;1570386314,00;2661551476,00;2151514435,00;2313787231,00;2301053467,00;2305429382,00;7966442585,00;2131044388,00;2210,00;66.12;25.91
2021-06-25T20:15:00Z;59952,00;1585286331,00;2774557495,00;2071827888,00;2312846222,00;2301705322,00;2304735413,00;795816946,00;2149944544,00;2235,00;66165,00;25.74
2021-06-25T20:30:00Z;60031,00;3005480957,00;2672148132,00;2192108154,00;2316096497,00;2304848785,00;2307833862,00;1014610672,00;4081439495,00;2295,00;66.59;25305,00
2021-06-25T20:45:00Z;599629,00;1550262356,00;2655706596,00;2534142685,00;2319163818,00;2305998993,00;2309697571,00;830775547,00;2107742071,00;2151,00;67.09;25025,00
2021-06-25T21:00:00Z;600216,00;1574789429,00;3179068375,00;2360709381,00;2315514832,00;2302577209,00;2306851654,00;8753232956,00;213828969,00;2069,00;67.67;24.78
