Time;Frequency;CurrentA;CurrentB;CurrentC;VoltageAB;VoltageBC;VoltageCA;Activepower;ApparentpowerVA;Activeenergydelivered(Wh);Humidity;Temperature
2021-08-20T15:15:00Z;599847,00;5720210648,00;757414093,00;8758518982,00;2253004761,00;2243578644,00;2239001007,00;2769466019,00;7524115562,00;6582,00;64485,00;27.35
2021-08-20T15:30:00Z;599968,00;7000878143,00;7853808594,00;8741532898,00;2251134644,00;224224411,00;223925705,00;294771843,00;9207626343,00;7078,00;64495,00;27255,00
2021-08-20T15:45:00Z;600207,00;4771071625,00;6805722046,00;8903219604,00;2254180298,00;2243573151,00;2239349518,00;2555262566,00;6280338764,00;6999,00;64.55;27145,00
2021-08-20T16:00:00Z;60018,00;4858875275,00;6469532013,00;9056793976,00;2261808624,00;2252211151,00;2249044952,00;2542235184,00;6420451164,00;6374,00;64.64;27325,00
2021-08-20T16:15:00Z;599965,00;4658086777,00;7540005493,00;9951861572,00;2264602051,00;2251534576,00;2247446594,00;2756738091,00;6158577442,00;6338,00;64.8;27355,00
2021-08-20T16:30:00Z;599629,00;4718006897,00;6411352539,00;8746311951,00;2268152161,00;2260458679,00;2255150757,00;2492793083,00;6251492023,00;6776,00;64755,00;27285,00
2021-08-20T16:45:00Z;599701,00;4395038223,00;6593746948,00;8714172363,00;2271548309,00;2260174103,00;2259389191,00;2470518112,00;5836369991,00;6248,00;64.53;27.25
2021-08-20T17:00:00Z;599729,00;7356687069,00;2685342979,00;3055112457,00;2279701996,00;2269051819,00;2269871521,00;7366482258,00;9812287092,00;3744,00;64375,00;27265,00
2021-08-20T17:15:00Z;600565,00;6527441025,00;2512220764,00;1622185898,00;2277256927,00;2268101807,00;2267639008,00;5624461174,00;8695963621,00;1750,00;64475,00;27.11
2021-08-20T17:30:00Z;599549,00;6438019753,00;2424777031,00;2109529495,00;2282288513,00;2273369751,00;2274325104,00;599088192,00;8598749638,00;1454,00;64.72;27,00
2021-08-20T17:45:00Z;599998,00;7171590328,00;2458510208,00;2181135559,00;2290093994,00;228066391,00;2280239563,00;6288644314,00;9607245326,00;1496,00;65.07;26895,00
2021-08-20T18:00:00Z;599875,00;5883926868,00;2573612976,00;2279011726,00;2299250488,00;2289087982,00;2289912109,00;6216943741,00;7914767861,00;1525,00;65295,00;26.82
2021-08-20T18:15:00Z;60007,00;6643585682,00;2990495491,00;2332471848,00;2302504883,00;2293608704,00;2294775696,00;675112772,00;8953121901,00;1542,00;65545,00;26.73
2021-08-20T18:30:00Z;599899,00;8371291161,00;2676874542,00;1821654129,00;2287480164,00;2276484375,00;2277137756,00;6445593834,00;1120055199,00;1607,00;65.79;26.58
2021-08-20T18:45:00Z;600269,00;903638649,00;2569072723,00;1903186607,00;2306217041,00;2297185669,00;2298682404,00;6582673073,00;1219698787,00;1713,00;66.52;26405,00
2021-08-20T19:00:00Z;599441,00;861118412,00;2686751938,00;1925100899,00;231007782,00;2300611267,00;2301946716,00;6669916153,00;1164097548,00;1750,00;66565,00;26195,00
2021-08-20T19:15:00Z;600093,00;8572763443,00;2548273277,00;1768914223,00;2313447418,00;2302542725,00;2304019928,00;6383697033,00;1160362959,00;1714,00;66865,00;26025,00
2021-08-20T19:30:00Z;600124,00;9169060707,00;2862257957,00;1714834404,00;2306703033,00;229639328,00;2297834167,00;6763842583,00;123755455,00;1691,00;67225,00;25.77
2021-08-20T19:45:00Z;599865,00;839242363,00;2578956795,00;1770188141,00;2308851624,00;2296669922,00;2299943695,00;6350967884,00;113404119,00;1704,00;67585,00;25.61
2021-08-20T20:00:00Z;60013,00;8381864548,00;399954071,00;3594025803,00;2317172699,00;2302865601,00;230569931,00;9944081306,00;1135415554,00;1750,00;67.73;25395,00
2021-08-20T20:15:00Z;599831,00;8886345863,00;2977300835,00;2364253807,00;231395874,00;23031604,00;2306296997,00;7413741589,00;1203432322,00;1782,00;67.8;25.33
2021-08-20T20:30:00Z;60001,00;8378020287,00;2593805504,00;2308008194,00;2319833679,00;2307925568,00;2311536865,00;6885262489,00;1137557387,00;1722,00;67.4;25065,00
2021-08-20T20:45:00Z;600468,00;8912583351,00;2877295685,00;2304237556,00;2322657166,00;2312692566,00;2315263062,00;7289029121,00;1211682916,00;1713,00;67.46;24915,00
2021-08-20T21:00:00Z;60009,00;837898159,00;2681592751,00;1986520767,00;2324111938,00;2311933594,00;2316263123,00;6643945217,00;1139950991,00;1732,00;67.49;24.76
2021-08-20T21:15:00Z;599353,00;8638255119,00;255826931,00;1773278236,00;2322964935,00;2310500946,00;2313985596,00;6421948433,00;1174240232,00;1738,00;67.45;24705,00
2021-08-20T21:30:00Z;600117,00;9231194496,00;324377594,00;1755665016,00;2321219177,00;230790451,00;2312151337,00;7356425762,00;125385952,00;1682,00;67535,00;24.6
2021-08-20T21:45:00Z;600188,00;8579334259,00;2560785675,00;1756902885,00;2325140839,00;231282196,00;2317624512,00;6403026581,00;1167800307,00;1737,00;67.48;24515,00
2021-08-20T22:00:00Z;599867,00;1882557297,00;3899116516,00;186398983,00;2322290497,00;2313449249,00;2315826263,00;9002254486,00;2558413029,00;1878,00;67.67;24325,00
2021-08-20T22:15:00Z;600226,00;8588713646,00;2659463501,00;1770643044,00;2328503723,00;2316777802,00;2322120514,00;6522194862,00;1170862556,00;1763,00;67805,00;24.43
2021-08-20T22:30:00Z;600512,00;8422110558,00;2564649963,00;1831703568,00;2331211243,00;2319769287,00;2322154694,00;6414480686,00;1148567796,00;1691,00;67695,00;24265,00
2021-08-20T22:45:00Z;599982,00;8935138702,00;28852314,00;1834031677,00;2331765289,00;2320588074,00;2323564301,00;6849205971,00;1219117999,00;1698,00;68.14;24.14
2021-08-20T23:00:00Z;599976,00;8414460182,00;3015216064,00;1998884201,00;2334641113,00;2323272705,00;2327041473,00;7008115292,00;1149622083,00;1766,00;68275,00;24.16
2021-08-20T23:15:00Z;600311,00;842688942,00;2867316818,00;1769733238,00;2334985199,00;2322276764,00;2327190857,00;6666813374,00;1151497126,00;1721,00;68235,00;23.95
2021-08-20T23:30:00Z;600201,00;8902640343,00;2581453133,00;2150691032,00;2336928101,00;2324664612,00;2328570099,00;6850819111,00;1217260838,00;1730,00;68505,00;23.84
2021-08-20T23:45:00Z;600052,00;8407758713,00;2529849815,00;2155851173,00;2336902771,00;2324962616,00;2329503479,00;6713742256,00;114986825,00;1763,00;68.5;24.04
2021-08-21T0:00:00Z;599752,00;8939641953,00;2897206116,00;2329397583,00;2342713623,00;2329521179,00;2334279022,00;7442475796,00;1225355864,00;1730,00;68.71;24.01
2021-08-21T0:15:00Z;600398,00;8427845001,00;336530571,00;2222238922,00;233395462,00;2318615723,00;2327131348,00;7763340473,00;1151855469,00;1779,00;68.66;23975,00
2021-08-21T0:30:00Z;600315,00;8406802177,00;2797848892,00;2406813431,00;2337189636,00;2322096252,00;2329869385,00;72677598,00;1150345325,00;1822,00;68.61;24.01
2021-08-21T0:45:00Z;600526,00;8936940193,00;3009817314,00;2295836449,00;2343560791,00;2328722992,00;2336906128,00;7419553757,00;1226304293,00;1807,00;68.63;23915,00
2021-08-21T1:00:00Z;600163,00;8406802177,00;2567003441,00;2000535011,00;2337738342,00;2321994171,00;2330166473,00;6575439453,00;1150627732,00;1724,00;68.74;23995,00
2021-08-21T1:15:00Z;60017,00;8402011871,00;25808918,00;1905427361,00;2337442474,00;2322601776,00;2330504303,00;6500117302,00;1149833322,00;1767,00;68.8;23.96
2021-08-21T1:30:00Z;600066,00;9734670639,00;3004409409,00;1766910362,00;2338252258,00;2323965759,00;2332142944,00;7050366402,00;1332821488,00;1751,00;68.9;23885,00
