Time;Frequency;CurrentA;CurrentB;CurrentC;VoltageAB;VoltageBC;VoltageCA;Activepower;ApparentpowerVA;ActiveenergydeliveredWh;Humidity;Temperature
2021-04-02T00:30:00Z;60,02;14,80;30,85;22,48;231,18;229,64;230,28;8.445,28;9.031,37;2.602,00;66,21;28,51
2021-04-02T00:45:00Z;60,02;15,61;31,05;23,66;231,11;229,61;230,39;8.714,53;9.323,31;2.618,00;65,81;28,45
2021-04-02T01:00:00Z;59,95;15,34;32,58;27,35;229,40;228,11;228,65;9.201,40;9.906,00;2.627,00;65,78;28,40
2021-04-02T01:15:00Z;60,02;37,66;34,13;50,21;229,88;228,54;228,97;14.935,08;16.133,91;2.756,00;66,04;28,43
2021-04-02T01:30:00Z;59,97;15,41;30,87;26,88;229,59;228,03;228,57;8.993,64;9.630,52;2.457,00;66,23;28,48
2021-04-02T01:45:00Z;59,97;15,62;32,62;26,45;229,71;228,33;229,01;9.167,02;9.843,84;2.772,00;66,35;28,34
2021-04-02T02:00:00Z;60,01;36,59;30,92;48,43;230,78;229,48;229,89;14.312,55;15.396,86;2.620,00;66,55;28,32
2021-04-02T02:15:00Z;59,96;15,40;34,06;23,20;230,23;228,56;229,29;8.887,25;9.589,62;2.479,00;66,92;28,24
2021-04-02T02:30:00Z;60,02;15,59;29,52;22,37;230,90;229,45;230,17;8.416,56;8.942,73;2.702,00;67,72;27,98
2021-04-02T02:45:00Z;59,96;15,42;30,82;24,28;230,56;229,02;229,74;8.706,75;9.325,87;2.148,00;68,33;27,84
2021-04-02T03:00:00Z;59,99;15,61;31,00;27,58;230,51;229,09;229,96;9.147,82;9.813,73;2.838,00;68,89;27,76
2021-04-02T03:15:00Z;60,00;14,77;29,41;27,54;230,87;229,38;230,11;8.870,80;9.496,90;2.820,00;69,09;27,76
2021-04-02T03:30:00Z;60,03;38,53;33,91;46,20;229,18;228,17;228,71;14.411,77;15.665,26;2.336,00;69,14;27,88
2021-04-02T03:45:00Z;60,00;14,79;29,41;24,84;229,99;228,54;229,23;8.560,85;9.109,63;2.633,00;69,29;27,95
2021-04-02T04:00:00Z;60,00;45,58;39,06;47,86;229,53;228,48;228,79;16.547,83;17.519,89;2.985,00;69,48;27,86
2021-04-02T04:15:00Z;60,02;14,84;34,18;26,47;230,67;229,14;229,88;9.232,62;9.982,41;2.610,00;69,10;27,93
